ID,タイトル,日付,発表者,説明,タグ,資料数,サムネイルURL,動画URL,カテゴリ
27,久々の肩慣らし：もしくろ - もしも適当なsparkがclaude codeをはじめて触ったらｗ,2025-07-15,spark,Claude Codeを初めて使ってみる体験記。実際の開発フローや使い勝手、つまづきポイントなどを率直にレポートします。AI支援開発ツールの実用性について考察します。,Claude Code; AI開発; 実体験; ツール紹介,1,/images/claude-code-thumbnail.svg,,ツール・サービス
26,AIの目的は何？,2025-07-01,コミュニティメンバー,AI技術の発展における根本的な目的について議論します。技術的進歩だけでなく、人間社会にとってAIがどうあるべきかを哲学的・実践的な観点から考察します。,AI哲学; 目的論; 社会的意義; ディスカッション,1,/images/ai-purpose-thumbnail.svg,,基礎知識
25,Cursor+Obsidian / AIと倫理,2025-06-15,コミュニティメンバー,AI支援エディタCursorとナレッジ管理ツールObsidianの組み合わせによる効率的な知識管理手法を紹介。加えて、AI技術における倫理的課題についても議論します。,Cursor; Obsidian; ナレッジ管理; AI倫理,2,/images/cursor-obsidian-thumbnail.svg,,ツール・サービス
24,音声AI を試す？,2025-06-01,コミュニティメンバー,最新の音声AI技術を実際に試してみる実践セッション。音声合成、音声認識、リアルタイム音声変換などの技術を体験し、その可能性と課題を探ります。,音声AI; 音声合成; 音声認識; 実践,2,/images/voice-ai-thumbnail.svg,,
23,Airtableの基礎！,2025-05-15,コミュニティメンバー,ノーコードデータベースツールAirtableの基本的な使い方から応用まで。AI時代におけるデータ管理の効率化手法として、Airtableの活用方法を学びます。,Airtable; ノーコード; データベース; 基礎,2,/images/airtable-thumbnail.svg,,基礎知識
22,AIのトレンドを語る (4/26),2025-04-26,コミュニティメンバー,2024年前半のAI業界のトレンドを振り返り、今後の展望について議論します。新しいモデルの登場、企業の動向、技術的ブレイクスルーなどを総合的に分析します。,AIトレンド; 業界動向; 展望; ディスカッション,1,/images/ai-trends-thumbnail.svg,,
21,AIのトレンドを語る (4/12),2025-04-12,コミュニティメンバー,最新のAI技術トレンドについての座談会。マルチモーダルAI、エージェント技術、オープンソースモデルの進展などについて活発に議論しました。,AIトレンド; マルチモーダル; エージェント; オープンソース,1,/images/ai-trends-thumbnail.svg,,
20,Bolt.new＋Figmaはイケるのか,2025-03-29,コミュニティメンバー,AI支援開発ツールBolt.newとデザインツールFigmaの連携可能性を探ります。デザインからコードへの自動変換、プロトタイプの高速化など、実用性を検証します。,Bolt.new; Figma; デザイン; プロトタイピング,2,/images/bolt-figma-thumbnail.svg,,ツール・サービス
19,続：Manus/Difyで即席開発！by minta,2025-03-15,minta,前回に続き、ManusとDifyを使った高速アプリケーション開発の実践編。より複雑なワークフローの構築と実際のビジネス課題への適用例を紹介します。,Manus; Dify; 即席開発; ワークフロー,2,/images/ai-session-generic.svg,https://example.com/video/manus-dify-advanced,ツール・サービス
18,Operatorを試す＆ツールで即席開発！,2025-03-01,コミュニティメンバー,AI Operatorツールの実践的な使用方法と、各種AIツールを組み合わせた高速開発手法を紹介。実際にリアルタイムでアプリケーションを構築するライブコーディングセッション。,Operator; 即席開発; AIツール; ライブコーディング,2,/images/ai-session-generic.svg,https://example.com/video/operator-rapid-dev,ツール・サービス
17,ハルシネーションとの付き合い方,2025-02-01,コミュニティメンバー,AI の「ハルシネーション」（虚偽情報の生成）について深く理解し、実用的な対策方法を学びます。検証手法、プロンプト設計、システム設計での対応策を具体的に解説します。,ハルシネーション; AI精度; 検証手法; プロンプト設計,2,/images/ai-session-generic.svg,,倫理・社会的課題
